id;ehit_id;nliik_kood;kuju_jnr;gis_kood;nimetus;sissepaasu_punkt;ads_oid;geometry;kuju_moodustusviis;date_created;date_updated;ehr_kood;adob_id;ads_liik;tyhistatud_kp;nahtus;taisaadress;lahiaadress;pindala;viitepunkt_x;viitepunkt_y;geom_updated
2601534;5521194;MMARAJAT;1;1;kogumismahuti 3m3;;;01020000000500000033333333694A2641CDCCCCCC86285941666666666B4A2641666666A68628594166666666684A2641666666068628594133333333664A2641CDCCCC2C8628594133333333694A2641CDCCCCCC86285941;D;2018-06-15 10:06:05.708000;2018-06-15 10:36:39.230893;220865076;;;;RAJATIS;Ida-Viru maakond, Narva linn, Vee tn 66;Vee tn 66;;;;2018-06-15 10:36:39
2635375;5553246;MPRAJAT;1;1;Piirded;;;01030000000100000005000000AE47E1FABF312041AE47E10A4F165941AE47E17AD3312041C3F5288C571659410000000082312041F6285C8F59165941B81E856B6E312041C3F5280C51165941AE47E1FABF312041AE47E10A4F165941;D;2018-07-27 16:31:36.724000;2018-07-27 16:38:08.874102;220869044;;;;RAJATIS;Harju maakond, Saue vald, Vanamõisa küla, Kukerpuu tee 12;Kukerpuu tee 12;;;;2018-07-27 16:37:48
2651439;5568967;;1;;Garaaž;;ME03723305;01030000000100000005000000B81E85EB55E62041CDCCCCACC21F5941D7A370BD52E6204152B81E35C11F59419A9999995FE6204152B81EC5C01F59411F85EBD162E62041D7A3703DC21F5941B81E85EB55E62041CDCCCCACC21F5941;D;2018-08-13 13:28:47.151000;2024-11-20 15:00:05.701590;120870449;9666525;ME;;HOONE;Harju maakond, Rae vald, Lagedi alevik, Kure tn 1;Kure tn 1;;;;2018-10-08 14:29:50
2651452;5568968;;1;;Saunamaja;;ME03723307;01030000000100000005000000666666E65BE62041E17A141EC51F59418FC2F5A858E62041333333A3C31F59415C8FC2F564E620417B14AE37C31F59413333333368E62041295C8FB2C41F5941666666E65BE62041E17A141EC51F5941;D;2018-08-13 13:43:07.359000;2024-11-20 15:00:05.722828;120870450;9666527;ME;;HOONE;Harju maakond, Rae vald, Lagedi alevik, Kure tn 1;Kure tn 1;;;;2018-10-08 14:29:59
2655031;5572512;PAED;1;1;piirdeaed väravatega;;;010200000003000000666666E644992041E17A144E73045941666666E6449920411F85EB11740459417B14AE475F9920411F85EB1174045941;M;2018-08-16 16:42:00.678000;2018-08-16 16:45:34.479489;220870914;;;;RAJATIS;Rapla maakond, Kohila vald, Kohila alev, Viljandi mnt 43;Viljandi mnt 43;;;;2018-08-16 16:45:34
2680834;5597327;;1;;Ruumikuju automaatne kanne Maa-ameti infosüsteemist;;EE01654814;01030000000100000010000000D7A370BDD3962041EC51B8DE5921594114AE4761D4962041D7A3707D572159417B14AE4750972041F6285CFF572159415C8FC2754F972041D7A3701D5B2159417B14AE47439720410AD7A3105B215941F6285C0F3E972041B81E850B5B2159413D0AD7233897204152B81E055B215941666666E613972041EC51B8DE5A215941C3F5285C0F972041A4703DDA5A215941E17A142E0E9720418FC2F5D85A215941D7A3703DE7962041000000B05A215941C3F5285CE6962041F6285CAF5A2159419A999999E09620418FC2F5A85A215941C3F528DCD4962041CDCCCC9C5A215941F6285C8FD3962041B81E859B5A215941D7A370BDD3962041EC51B8DE59215941;K;2018-09-13 10:25:34.314437;2023-09-04 08:47:02.737817;101012237;6577310;EE;;HOONE;Harju maakond, Tallinn, Kesklinna linnaosa, Filtri tee 8;Filtri tee 8;773.3;543624.96;6587749.21;2018-09-13 10:25:34
2682595;5599043;MMPRAJAT;1;;;;;;;2018-09-14 18:04:23.030273;2018-09-14 18:04:23.030273;220489565;;;;RAJATIS;Valga maakond, Valga vald, Kaagjärve küla, Karlova;Karlova;;;;
3121309;6036787;;1;;abihoone;;ME03730445;0103000000010000000600000000000080B231204185EB51480B1E5941A4703D0ABD3120418FC2F5A80A1E594166666666C4312041D7A3709D0C1E594166666666C03120418FC2F5980C1E5941713D0A57B7312041F6285C8F0C1E594100000080B231204185EB51480B1E5941;K;2018-10-14 21:47:16.058000;2018-11-16 11:55:29.660923;121263129;9687104;ME;;HOONE;Harju maakond, Saue vald, Vatsla küla, Vatslaserva AÜ 30;Vatslaserva AÜ 30;;;;2018-11-16 11:55:29
3128695;6044025;;1;;;;EE02173233;0103000000010000000700000085EB51B8E3FB1F41713D0A07722559418FC2F528DEFB1F413D0AD72373255941AE47E17AF0FB1F41F6285C7F73255941AE47E17AE8FB1F41713D0A1775255941CDCCCCCCC9FB1F41D7A3707D742559411F85EB51D7FB1F418FC2F5C87125594185EB51B8E3FB1F41713D0A0772255941;K;2018-10-16 13:22:22.880559;2018-10-16 13:22:22.880559;116065981;9513725;EE;;HOONE;Harju maakond, Harku vald, Suurupi küla, Siidilille tee 11;Siidilille tee 11;68.8;524023.15;6591950.63;2018-10-16 13:22:22
3141785;6056806;MPRAJAT;1;1;Tuletõrjeveemahuti;;;010200000005000000666666E66E562641B81E852B2423594185EB51B873562641EC51B8DE242359411F85EB517656264133333393242359418FC2F5A871562641295C8FE223235941666666E66E562641B81E852B24235941;D;2018-10-20 13:24:51.780000;2018-12-13 19:44:34.231666;221263852;;;;RAJATIS;Ida-Viru maakond, Narva linn, Kuuse tn 6;Kuuse tn 6;;;;2018-12-13 19:44:34
3141785;6056806;MPRAJAT;1;1;Tuletõrjeveemahuti;;;010200000005000000666666E66E562641B81E852B2423594185EB51B873562641EC51B8DE242359411F85EB517656264133333393242359418FC2F5A871562641295C8FE223235941666666E66E562641B81E852B24235941;D;2018-10-20 13:24:51.780000;2018-12-13 19:44:34.231666;221263852;;;;RAJATIS;Ida-Viru maakond, Narva linn, Kuuse tn 6;Kuuse tn 6;;;;2018-12-13 19:44:34
3144471;6059445;;1;;;;EE03305694;01030000000100000005000000F6285C8FE48823410AD7A3D0335D5841C3F528DCC18823410AD7A380355D584114AE4761BB882341AE47E16A335D584148E17A14DE882341A4703DBA315D5841F6285C8FE48823410AD7A3D0335D5841;K;2018-10-24 10:29:17.344933;2018-10-29 11:15:25.837723;120689540;8542345;EE;;HOONE;Valga maakond, Valga vald, Tsirgumäe küla, Sanatooriumi/1;Sanatooriumi/1;166.7;640103.99;6386894.46;2018-10-29 11:15:25
3144474;6059451;;1;;;;EE03305695;010300000001000000050000009A999999A78823419A9999D9365D584114AE47618588234185EB5188385D5841D7A370BD7E882341AE47E16A365D58415C8FC2F5A0882341C3F528BC345D58419A999999A78823419A9999D9365D5841;K;2018-10-24 10:33:41.687067;2018-10-29 11:15:13.199072;120689542;8493212;EE;;HOONE;Valga maakond, Valga vald, Tsirgumäe küla, Sanatooriumi/2;Sanatooriumi/2;167.1;640073.59;6386906.54;2018-10-29 11:15:13
